1, Nathan MacKinnon, COL (C1)
2, Connor McDavid, EDM (C2)
3, Nikita Kucherov, TB (RW1)
4, Macklin Celebrini, SJ (C3)
5, Jason Robertson, DAL (LW1)
6, David Pastrnak, BOS (RW2)
7, Matt Boldy, MIN (LW2)
8, Auston Matthews, TOR (C4)
9, Zach Werenski, CBJ (D1)
10, Filip Forsberg, NSH (RW3)
11, Cole Caufield, MTL (RW4)
12, Brady Tkachuk, FLA (LW3)
13, Leon Draisaitl, EDM (C5)
14, Andrei Vasilevskiy, TB (G1)
15, Alex DeBrincat, DET (RW5)
16, Cale Makar, COL (D2)
17, Evan Bouchard, EDM (D3)
18, Kyle Connor, WPG (LW4)
19, Alex Tuch, WSH (RW6)
20, Tage Thompson, BUF (C6)
21, Jake Guentzel, TB (LW5)
22, Kirill Kaprizov, MIN (LW6)
23, Nick Suzuki, MTL (C7)
24, Jack Eichel, VGK (C8)
25, Moritz Seider, DET (D4)
26, Wyatt Johnston, DAL (C9)
27, Matthew Tkachuk, FLA (LW7)
28, Mika Zibanejad, NYR (C10)
29, Artemi Panarin, LA (LW8)
30, Zach Hyman, EDM (RW7)
31, Martin Necas, COL (C11)
32, Noah Dobson, MTL (D5)
33, William Nylander, TOR (C12)
34, Clayton Keller, UTA (RW8)
35, Adrian Kempe, LA (C13)
36, Kevin Fiala, LA (LW9)
37, Cutter Gauthier, ANA (LW10)
38, Logan Thompson, WSH (G2)
39, Matthew Schaefer, NYI (D6)
40, Alex Ovechkin, WSH (LW11)
41, Steven Stamkos, NSH (C14)
42, Mark Scheifele, WPG (C15)
43, Jake Oettinger, DAL (G3)
44, Tim Stützle, OTT (C16)
45, MacKenzie Weegar, UTA (D7)
46, Roman Josi, NSH (D8)
47, Sam Reinhart, FLA (RW9)
48, Dylan Larkin, DET (C17)
49, Jakob Chychrun, WSH (D9)
50, Rasmus Dahlin, BUF (D10)
51, Dylan Guenther, UTA (RW10)
52, Filip Gustavsson, MIN (G4)
53, Scott Wedgewood, COL (G5)
54, Nico Hischier, NJ (C18)
55, Quinn Hughes, MIN (D11)
56, Jack Hughes, NJ (C19)
57, Timo Meier, NJ (LW12)
58, Sebastian Aho, CAR (C20)
59, Juraj Slafkovsky, MTL (LW13)
60, Brandon Hagel, TB (LW14)
61, Karel Vejmelka, UTA (G6)
62, Kirill Marchenko, CBJ (LW15)
