playerId,playerName,rarities
8481533,Trevor Zegras,Rare
8478873,Troy Terry,Common
8475462,Radko Gudas,Uncommon
8479343,Clayton Keller,Rare
8478872,Karel Vejmelka,Rare
8477951,Nick Schmaltz,Common
8477956,David Pastrnak,Ultra Rare
8479325,Charlie McAvoy,Common
8480839,Rasmus Dahlin,Rare
8479420,Tage Thompson,Common
8477949,Alex Tuch,Common
8476456,Jonathan Huberdeau,Common
8477496,Elias Lindholm,Common
8474593,Jacob Markstrom,Common
8478427,Sebastian Aho,Rare
8480830,Andrei Svechnikov,Uncommon
8470613,Brent Burns,Common
8477495,Seth Jones,Common
8475791,Taylor Hall,Common
8477492,Nathan MacKinnon,Rare
8480069,Cale Makar,Ultra Rare
8478420,Mikko Rantanen,Common
8479339,Patrik Laine,Uncommon
8478460,Zach Werenski,Common
8480027,Jason Robertson,Common
8479979,Jake Oettinger,Rare
8480036,Miro Heiskanen,Uncommon
8477946,Dylan Larkin,Common
8481542,Moritz Seider,Uncommon
8479337,Alex DeBrincat,Common
8478402,Connor McDavid,Ultra Rare
8477934,Leon Draisaitl,Ultra Rare
8480803,Evan Bouchard,Common
8477493,Aleksander Barkov,Uncommon
8479314,Matthew Tkachuk,Rare
8475683,Sergei Bobrovsky,Common
8471685,Anze Kopitar,Uncommon
8474563,Drew Doughty,Common
8478864,Kirill Kaprizov,Rare
8470594,Marc-Andre Fleury,Common
8480018,Nick Suzuki,Common
8481540,Cole Caufield,Common
8483515,Juraj Slafkovsky,Common
8476887,Filip Forsberg,Common
8474600,Roman Josi,Uncommon
8477424,Juuse Saros,Rare
8481559,Jack Hughes,Uncommon
8480002,Nico Hischier,Common
8477970,Vitek Vanecek,Common
8478009,Ilya Sorokin,Uncommon
8478445,Mathew Barzal,Common
8481014,Alexander Romanov,Common
8478550,Artemi Panarin,Common
8478048,Igor Shesterkin,Ultra Rare
8479323,Adam Fox,Uncommon
8480801,Brady Tkachuk,Uncommon
8479345,Jakob Chychrun,Common
8477499,Rasmus Ristolainen,Common
8479394,Carter Hart,Uncommon
8476461,Sean Couturier,Common
8471675,Sidney Crosby,Ultra Rare
8471215,Evgeni Malkin,Common
8471724,Kris Letang,Common
8474053,Logan Couture,Common
8476881,Tomas Hertl,Uncommon
8474578,Erik Karlsson,Common
8475831,Philipp Grubauer,Common
8483524,Shane Wright,Uncommon
8476412,Jordan Binnington,Common
8480023,Robert Thomas,Uncommon
8476892,Colton Parayko,Common
8474564,Steven Stamkos,Common
8476453,Nikita Kucherov,Uncommon
8476883,Andrei Vasilevskiy,Ultra Rare
8479318,Auston Matthews,Uncommon
8476853,Morgan Rielly,Common
8480012,Elias Pettersson,Common
8480800,Quinn Hughes,Ultra Rare
8477967,Thatcher Demko,Rare
8478403,Jack Eichel,Uncommon
8474565,Alex Pietrangelo,Common
8471214,Alex Ovechkin,Rare
8474590,John Carlson,Uncommon
8476880,Tom Wilson,Common
8476460,Mark Scheifele,Common
8477940,Nikolaj Ehlers,Common
8480829,Jesperi Kotkaniemi,Common
8470621,Corey Perry,Rare
8471817,Ryan Reaves,Rare
8480829,Jesperi Kotkaniemi,Unique
