1, Connor McDavid, F, EDM
2, Nathan MacKinnon, F, COL
3, Nikita Kucherov, F, TBL
4, Macklin Celebrini, F, SJS
5, Leon Draisaitl, F, EDM
6, David Pastrnak, F, BOS
7, Kirill Kaprizov, F, MIN
8, Cale Makar, D, COL
9, Jason Robertson, F, DAL
10, Matt Boldy, F, MIN
11, Quinn Hughes, D, MIN
12, Zach Werenski, D, CBJ
13, Andrei Vasilevskiy, G, TBL
14, Martin Necas, F, COL
15, Nick Suzuki, F, MTL
16, Wyatt Johnston, F, DAL
17, Auston Matthews, F, TOR
18, Jack Hughes, F, NJD
19, Jack Eichel, F, VGK
20, Cole Caufield, F, MTL
21, Brady Tkachuk, F, FLA
22, Evan Bouchard, D, EDM
23, Mikko Rantanen, F, DAL
24, Matthew Tkachuk, F, FLA
25, Lane Hutson, D, MTL
26, Logan Thompson, G, WSH
27, Connor Hellebuyck, G, WPG
28, Ilya Sorokin, G, NYI
29, Kyle Connor, F, WPG
30, Tage Thompson, F, BUF
31, Cutter Gauthier, F, ANA
32, Mark Scheifele, F, WPG
33, Dylan Guenther, F, UTA
34, Leo Carlsson, F, ANA
35, Jake Guentzel, F, TBL
36, William Nylander, F, TOR
37, Sam Reinhart, F, FLA
38, Brandon Hagel, F, TBL
39, Rasmus Dahlin, D, BUF
40, Matthew Schaefer, D, NYI
41, Jake Oettinger, G, DAL
42, Igor Shesterkin, G, NYR
43, Aleksander Barkov, F, FLA
44, Clayton Keller, F, UTA
45, Sidney Crosby, F, PIT
46, Artemi Panarin, F, LAK
47, Adrian Kempe, F, LAK
48, Alex DeBrincat, F, DET
49, Tim Stützle, F, OTT
50, Juraj Slafkovsky, F, MTL
51, Filip Forsberg, F, NSH
52, Kirill Marchenko, F, CBJ
53, Darren Raddysh, D, TOR
54, Scott Wedgewood, G, COL
55, Jesper Wallstedt, G, MIN
56, Mitch Marner, F, VGK
57, Robert Thomas, F, STL
58, Dylan Holloway, F, STL
59, Will Smith, F, SJS
60, Brayden Point, F, TBL
61, Adam Fantilli, F, CBJ
62, Jeremy Swayman, G, BOS
63, Jake Sanderson, D, OTT
64, Jakob Chychrun, D, WSH
65, Mika Zibanejad, F, NYR
66, Dylan Larkin, F, DET
67, Nico Hischier, F, NJD
68, Connor Bedard, F, CHI (INJ.)
69, Bo Horvat, F, NYI
70, Sebastian Aho, F, CAR
71, Zach Hyman, F, EDM
72, Pavel Dorofeyev, F, NYR
73, Porter Martone, F, PHI (rookie)
74, Drake Batherson, F, OTT
75, Lucas Raymond, F, DET
76, Moritz Seider, D, DET
77, Adam Fox, D, NYR
78, Jacob Markstrom, G, FLA
79, Brandon Bussi, G, CAR
80, Jesper Bratt, F, NJD
81, Logan Cooley, F, UTA
82, Beckett Sennecke, F, ANA
83, Tom Wilson, F, WSH
84, Roope Hintz, F, DAL
85, Jimmy Snuggerud, F, STL
86, Timo Meier, F, NJD
87, John Tavares, F, TOR
88, J.T. Miller, F, NYR
89, Miro Heiskanen, D, DAL
90, Jackson LaCombe, D, ANA
91, Jakub Dobes, G, MTL
92, Mackenzie Blackwood, G, COL
93, Erik Karlsson, D, PIT
94, Roman Josi, D, NSH
95, Brock Faber, D, MIN
96, Mark Stone, F, VGK
97, Nick Schmaltz, F, UTA
98, Steven Stamkos, F, NSH
99, Alex Ovechkin, F, WSH
100, Ivan Demidov, F, MTL
101, Rickard Rakell, F, PIT
102, Andrei Svechnikov, F, CAR
103, Quinton Byfield, F, LAK
104, Nikolaj Ehlers, F, CAR
105, Gavin McKenna, F, TOR (rookie)
106, Bryan Rust, F, PIT
107, Alex Tuch, F, WSH
108, Morgan Geekie, F, BOS
109, Sam Bennett, F, FLA
110, Matthew Knies, F, TOR
111, Nazem Kadri, F, COL
112, Brock Nelson, F, COL
113, Dylan Strome, F, WSH
114, John Carlson, D, TBL
115, Cole Hutson, D, WSH (rookie)
116, Mikhail Sergachev, D, UTA
117, Karel Vejmelka, G, UTA
118, Sergei Bobrovsky, G, TOR
119, Anton Frondell, F, CHI (rookie)
120, Ivar Stenberg, F, SJS (rookie)
121, Joel Eriksson Ek, F, MIN
122, Mathew Barzal, F, NYI
123, Travis Konecny, F, PHI
124, Jordan Kyrou, F, WSH
125, Logan Stankoven, F, CAR
126, Jackson Blake, F, CAR
127, Trevor Zegras, F, PHI
128, Gabriel Vilardi, F, WPG
129, Evgeni Malkin, F, PIT
130, Vincent Trocheck, F, UTA
131, Charlie McAvoy, D, BOS (suspended)
132, Victor Hedman, D, TBL
133, Josh Doan, F, BUF
134, Ryan O'Reilly, F, NSH
135, Pavel Zacha, F, BOS
136, Dylan Cozens, F, OTT
137, Carter Verhaeghe, F, FLA
138, Elias Pettersson, F, VAN
139, Patrick Kane, F, CHI
140, William Eklund, F, OTT
141, Alexis Lafreniere, F, NYR
142, Ryan Nugent-Hopkins, F, EDM
143, Zach Benson, F, BUF
144, Shayne Gostisbehere, D, CAR
145, Brandt Clarke, D, LAK
146, Noah Dobson, D, MTL
147, Dougie Hamilton, D, NJD
148, Josh Morrissey, D, WPG
149, Shea Theodore, D, VGK
150, Ukko-Pekka Luukkonen, G, BUF
151, Linus Ullmark, G, OTT
152, Carter Hart, G, VGK
153, Gabriel Landeskog, F, COL
154, Mason Marchment, F, SJS
155, JJ Peterka, F, BOS
156, Mats Zuccarello, F, LAK
157, Matt Duchene, F, DAL
158, Egor Chinakhov, F, PIT
159, Gabe Perreault, F, NYR
160, Aliaksei Protas, F, WSH
161, Frank Nazar, F, CHI
162, Brandon Montour, D, SEA
163, MacKenzie Weegar, D, UTA
164, Bowen Byram, D, CHI
165, Joel Hofer, G, STL
166, Dan Vladar, G, PHI
167, Seth Jones, D, FLA
168, Thomas Harley, D, DAL
169, Vince Dunn, D, SEA
170, Philip Broberg, D, STL
171, Juuse Saros, G, NSH
172, Jet Greaves, G, CBJ
173, Anthony Cirelli, F, TBL
174, Mikael Granlund, F, ANA
175, Valeri Nichushkin, F, CBJ
176, Luke Evangelista, F, NJD
177, Anthony Mantha, F, NJD
178, Konsta Helenius, F, BUF (rookie)
179, Mason McTavish, F, STL
180, Brad Marchand, F, FLA
181, Michael Misa, F, SJS
182, Roman Kantserov, F, CHI (rookie)
183, Jake DeBrusk, F, VAN
184, Brock Boeser, F, VAN
185, Mavrik Bourque, F, NSH
186, Artturi Lehkonen, F, COL
187, Spencer Knight, G, CHI
188, Lukas Dostal, G, ANA
189, Filip Hronek, D, VAN
190, Simon Nemec, D, CGY
191, Rasmus Andersson, D, VGK
192, Luke Hughes, D, NJD
193, Igor Chernyshov, F, SJS
194, Marco Rossi, F, VAN
195, Blake Coleman, F, MIN
196, James Hagens, F, BOS (rookie)
197, Matvei Michkov, F, PHI
198, Collin Graf, F, SJS
199, Tyson Foerster, F, PHI
200, Taylor Hall, F, CAR
201, Ryan Hartman, F, MIN
202, Bobby McMann, F, SEA
203, Jacob Fowler, G, MTL (rookie)
204, Jake Allen, G, NJD
205, Alex Lyon, G, BUF
206, John Gibson, G, DET
207, Mattias Samuelsson, D, BUF
208, Thomas Chabot, D, OTT
209, Ryan Leonard, F, WSH
210, Victor Eklund, F, NYI (rookie)
211, Tomas Hertl, F, VGK
212, Viktor Arvidsson, F, DET
213, Jack Roslovic, F, TOR
214, Charlie Coyle, F, CBJ
215, Matvei Gridin, F, CGY
216, Ilya Protas, F, WSH (rookie)
217, Jacob Trouba, D, SJS
218, Darnell Nurse, D, SJS
219, Anton Lundell, F, FLA
220, Anders Lee, F, UTA
221, Kiefer Sherwood, F, SJS
222, Alexander Nikishin, D, CAR
223, Zayne Parekh, D, CGY
224, Justin Faulk, D, DET
225, Yaroslav Askarov, G, SJS
226, Darcy Kuemper, G, LAK
227, Tyler Bertuzzi, F, CHI
228, Brett Howden, F, VGK
229, Chris Kreider, F, ANA
230, Connor McMichael, F, STL
231, Elias Lindholm, F, BOS
232, Matt Coronato, F, CGY
233, Fraser Minten, F, BOS
234, Ivan Barbashev, F, VGK
235, Sam Malinski, D, COL
236, Sam Rinzel, D, CHI
237, Artyom Levshunov, D, CHI
238, Zeev Buium, D, VAN
239, Arturs Silovs, G, PIT
240, Dustin Wolf, G, CGY
241, K'Andre Miller, D, CAR
242, Noah Hanifin, D, VGK
243, Colton Parayko, D, STL
244, Logan Mailloux, D, STL
245, William Karlsson, F, VGK
246, Jared McCann, F, SEA
247, Shane Pinto, F, OTT
248, Mike Matheson, D, MTL
249, Akira Schmid, G, FLA
250, Tristan Jarry, G, EDM
