percentile,shots,hits,blocked,goals,assists,points,timeOnIcePerGame,powerPlayTimeOnIcePerGame,evenTimeOnIcePerGame
5,	0.8935438596491228,0.2597146326654523,0.18647457627118647,0.053643822393822385,0.07707292707292708,0.15342190016103063,617.15,1.0,570.15
10,	1.013144963144963,0.378944618599791,0.2311036789297659,0.07561499880582756,0.10363777089783283,0.21345588235294116,658.1,3.0,607.9000000000001
15,	1.139910714285714,0.4682276119402985,0.2577956989247312,0.09090909090909091,0.125,0.23687445127304652,714.0,5.0,633.45
20,	1.2263636363636365,0.5497899159663866,0.2911392405063291,0.10190245589761329,0.1480127186009539,0.2612709030100335,736.6,9.0,655.2
25,	1.3175837320574162,0.6307354925775979,0.3150684931506849,0.12259306803594351,0.1619442022667829,0.29719172297297297,762.0,19.75,684.75
30,	1.3916260954235637,0.7164285714285714,0.33292682926829265,0.13725490196078433,0.17721518987341772,0.3181096681096681,796.9000000000001,33.0,702.9
35,	1.4685081374321882,0.8027439024390244,0.3538753651411879,0.15074562164036756,0.1971923647146034,0.34214285714285714,828.05,50.04999999999998,719.1999999999999
40,	1.5732718894009217,0.890455991516437,0.37875904073087174,0.16497890295358653,0.21794871794871795,0.39503475670307847,851.6000000000001,66.20000000000002,739.2
45,	1.6303118908382066,0.9664915966386555,0.4,0.179238423268274,0.2404347826086956,0.41939874657265963,887.35,78.69999999999999,763.4
50,	1.7342747111681645,1.0598214285714285,0.42067124332570555,0.19230769230769232,0.2565835065835066,0.452018779342723,915.5,92.0,781.0
55,	1.872849724115547,1.138233601841197,0.4387905111927831,0.21029889538661467,0.2813442055843835,0.5040123456790124,957.25,102.0,798.6500000000001
60,	2.0152927669345577,1.2395,0.4639658848614072,0.22784810126582278,0.30280160091480846,0.5552136752136752,984.0,112.0,817.8
65,	2.1852123552123546,1.3407867132867133,0.506649789029536,0.25639462163852406,0.33313008130081295,0.6048800372699744,1010.0,124.0,833.0
70,	2.2781249999999997,1.4243176178660044,0.5457478005865102,0.28004878048780485,0.3751811594202898,0.6583625100996497,1045.0,140.09999999999997,854.0
75,	2.4790940766550524,1.6243680485338727,0.5804554554554555,0.30583333333333335,0.4123949579831933,0.7278869778869779,1071.25,155.25,873.0
80,	2.632111925383078,1.8591038406827884,0.6174820613176779,0.3393062633568964,0.45569620253164556,0.7974683544303798,1094.0,163.0,886.4000000000001
85,	2.760201207243461,2.0154038112522685,0.662426948051948,0.39232513726426355,0.5276278183550335,0.8819930069930071,1115.0,176.0,903.0
90,	2.9957746478873237,2.323954802259886,0.7014925373134329,0.4354845490855581,0.5853502109704641,0.9875605563369276,1151.4,187.7,929.7
95,	3.3837687074829925,2.7192776735459665,0.8076955424726655,0.5098837209302322,0.6803876582278474,1.1547619047619044,1202.25,207.69999999999993,964.0
